
who (OPTIONS: cu-student; certificate-student; other), type, country, state, city, latitude, longitude
certificate-student,place i've lived,Australia,New South Wales,Sydney,-33.865143,151.2099
certificate-student, where I live now, Australia, NSW, Sydney, 33.8688° S, 151.2093° E
